,Country,slow,fast,March,original,Beethoven,distorted,Chopin,Pop,Jazz Fusion,pitched_down,guzheng,Jazz,alt-pop,chip-tune,Reeds,pitched_up,Mozart,Bepop,Rock
Country,0.0,2.56,5.93,5.46,4.68,2.56,2.75,3.95,8.22,6.2,2.49,3.36,2.14,6.2,5.42,4.03,3.46,2.68,6.01,7.4
slow,2.56,0.0,6.73,2.89,8.05,5.63,4.5,4.45,2.77,2.2,8.6,6.66,3.23,3.36,2.92,5.95,8.6,6.01,2.98,3.25
fast,5.93,6.73,0.0,6.05,8.3,6.85,7.55,5.91,5.63,3.29,6.89,4.41,3.23,3.32,5.67,5.74,8.52,5.69,3.1,4.37
March,5.46,2.89,6.05,0.0,6.01,5.51,2.89,2.71,6.83,5.29,2.58,3.27,2.85,3.02,4.7,2.96,4.2,1.51,6.05,6.37
original,4.68,8.05,8.3,6.01,0.0,7.06,7.42,6.37,5.3,3.38,8.43,6.01,2.35,3.55,5.27,6.28,7.4,7.27,4.6,2.1
Beethoven,2.56,5.63,6.85,5.51,7.06,0.0,5.34,7.08,2.6,1.44,3.95,5.34,5.57,5.7,4.47,3.88,5.5,7.34,4.6,4.68
distorted,2.75,4.5,7.55,2.89,7.42,5.34,0.0,7.13,2.81,3.29,7.34,7.04,2.54,7.27,2.22,6.58,7.34,5.91,4.33,2.62
Chopin,3.95,4.45,5.91,2.71,6.37,7.08,7.13,0.0,2.56,2.64,2.68,6.58,4.35,5.99,1.51,5.72,6.01,8.12,5.69,2.41
Pop,8.22,2.77,5.63,6.83,5.3,2.6,2.81,2.56,0.0,6.83,2.43,1.32,3.88,3.9,6.24,2.41,2.58,2.96,5.5,7.23
Jazz Fusion,6.2,2.2,3.29,5.29,3.38,1.44,3.29,2.64,6.83,0.0,2.41,2.6,7.17,2.05,3.3,4.35,1.93,1.88,3.48,4.1
pitched_down,2.49,8.6,6.89,2.58,8.43,3.95,7.34,2.68,2.43,2.41,0.0,5.55,3.7,4.12,3.21,6.62,7.55,4.16,4.24,2.1
guzheng,3.36,6.66,4.41,3.27,6.01,5.34,7.04,6.58,1.32,2.6,5.55,0.0,5.42,6.77,2.39,7.15,3.42,7.1,4.12,3.74
Jazz,2.14,3.23,3.23,2.85,2.35,5.57,2.54,4.35,3.88,7.17,3.7,5.42,0.0,4.33,2.03,5.82,2.05,7.0,6.58,3.19
alt-pop,6.2,3.36,3.32,3.02,3.55,5.7,7.27,5.99,3.9,2.05,4.12,6.77,4.33,0.0,2.77,6.58,5.38,3.59,3.61,5.82
chip-tune,5.42,2.92,5.67,4.7,5.27,4.47,2.22,1.51,6.24,3.3,3.21,2.39,2.03,2.77,0.0,5.86,5.46,2.75,5.76,6.7
Reeds,4.03,5.95,5.74,2.96,6.28,3.88,6.58,5.72,2.41,4.35,6.62,7.15,5.82,6.58,5.86,0.0,4.3,4.1,2.1,3.06
pitched_up,3.46,8.6,8.52,4.2,7.4,5.5,7.34,6.01,2.58,1.93,7.55,3.42,2.05,5.38,5.46,4.3,0.0,5.88,4.22,3.82
Mozart,2.68,6.01,5.69,1.51,7.27,7.34,5.91,8.12,2.96,1.88,4.16,7.1,7.0,3.59,2.75,4.1,5.88,0.0,3.74,2.68
Bepop,6.01,2.98,3.1,6.05,4.6,4.6,4.33,5.69,5.5,3.48,4.24,4.12,6.58,3.61,5.76,2.1,4.22,3.74,0.0,7.5
Rock,7.4,3.25,4.37,6.37,2.1,4.68,2.62,2.41,7.23,4.1,2.1,3.74,3.19,5.82,6.7,3.06,3.82,2.68,7.5,0.0
